message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,The message provides a general account update from a verified bank without a time-critical deadline.,0.85,message_0243
msg_091,mute,scam,The message attempts to solicit a sensitive login code under urgency pressure.,0.88,message_0238
msg_090,digest,personal,"An ordinary, low-stakes query from a first-time contact with no immediate urgency.",0.84,none
msg_048,mute,scam,"The message demands immediate QR payment using account-blocking threats, matching previous scam messages reported by the user.",0.88,message_0151
msg_040,mute,forward,The sender has a pattern of repeated chain forwards or low-value messages that the user consistently dismisses.,0.86,message_0136;message_0135
msg_075,notify,business_update,This is a time-sensitive update regarding an active ride booked for today.,0.89,message_0206
msg_005,notify,promotion,The sender is asking for a response regarding item pickup before a 6 PM deadline today.,0.88,message_0065
msg_104,mute,promotion,The user has consistently dismissed and muted past item sales and pickup requests from this sender.,0.86,message_0050;message_0224
msg_069,mute,greeting,The sender has a pattern of sending generic greetings and chain messages that the user consistently dismisses.,0.86,message_0193;message_0042
msg_107,mute,scam,The message attempts to override system rules and requests a sensitive OTP code.,0.88,message_0056;message_0213
msg_070,mute,scam,The message uses urgent threats of account blockage and fake security warnings to steal verification credentials.,0.88,message_0045;message_0023
msg_003,notify,business_update,The message provides a time-sensitive order delivery update expected today from a verified business.,0.88,message_0031;message_0400
msg_099,digest,personal,The message explicitly states nothing is needed tonight and defers review until before tomorrow's standup.,0.86,message_0227
msg_008,digest,business_update,The message is a non-urgent feedback request from a business related to a recent purchase and can wait for the digest.,0.85,message_0296
msg_092,digest,business_update,This is a routine account statement notification with no urgent deadline or immediate response required.,0.86,none
msg_060,notify,urgent,A group admin sent a time-sensitive notice about a concrete submission deadline closing today.,0.89,message_0176;message_0284
msg_004,notify,business_update,The update is tied to an upcoming appointment and requires review before the scheduled time.,0.88,message_0245
msg_030,mute,promotion,The user has repeatedly dismissed similar marketplace item listings in this muted group.,0.88,message_0115;message_0335
msg_045,notify,urgent,A delivery driver is currently at the gate requiring immediate action or confirmation within 10 minutes.,0.89,message_0061
msg_052,mute,scam,The message uses a fake refund notification and suspicious links from an unverified sender to harvest payment details.,0.89,message_0207;message_0208
msg_009,digest,personal,The message is routine group chatter in a muted group with no urgency or direct mention.,0.85,message_0074
